;0
284;Colin Dibley
285;Neale Fraser
286;Bo Holmstrom
287;Wolfgang Popp
288;Rick Meyer
289;Trey Waltke
290;Elio Lito Alvarez
291;Bengt Aberg
292;Cliff Drysdale
293;Patrice Kuchna
294;Werner Zirngibl
295;William Lloyd
296;Vincenzo Franchitti
297;John Alexander
298;Rod Laver
299;Lars Olander
300;Ken Rosewall
301;Allan Stone
302;Steve Shaw
303;Luis Siegler
304;Ozan Cildir
305;Axel Fries
306;Filip Bergstrom
307;Mathias Gavelin
308;Erik Nordblom
309;Esteban  Bruna
310;Johan Ljungdahl
311;Axel Lagerlof
312;Almir Nokic
